,City,Lats,Lngs,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
0,Heraclea,37.5133,34.0467,80.31,2,40,3.47,TR,1659643832
1,Torbay,47.6666,-52.7314,77.76,100,79,4.0,CA,1659643534
2,Nyrob,60.733,56.7202,64.44,62,74,2.48,RU,1659643833
3,Clyde River,70.4692,-68.5914,42.03,100,83,5.14,CA,1659643834
4,Bengkulu,-3.8004,102.2655,73.85,97,90,2.98,ID,1659643834
5,São Miguel do Araguaia,-13.275,-50.1628,93.63,0,18,3.94,BR,1659643835
6,Ushuaia,-54.8,-68.3,42.46,75,65,3.44,AR,1659643762
7,Pokhvistnevo,53.6524,52.1274,69.49,64,54,3.56,RU,1659643836
8,Bluff,-46.6,168.3333,57.79,100,69,20.29,NZ,1659643836
9,Orbetello,42.4408,11.2196,79.86,0,79,6.02,IT,1659643837
10,Mataura,-46.1927,168.8643,57.47,100,91,5.17,NZ,1659643837
11,Hermanus,-34.4187,19.2345,48.79,100,77,6.6,ZA,1659643838
12,Mar del Plata,-38.0023,-57.5575,49.08,75,77,10.36,AR,1659643711
13,Yichun,47.7,128.9,67.46,100,99,4.54,CN,1659643839
14,Albany,42.6001,-73.9662,99.64,32,47,8.61,US,1659643628
15,Chui,-33.6971,-53.4616,52.99,100,95,15.86,UY,1659643700
16,Manokwari,-0.8667,134.0833,76.8,95,79,2.86,ID,1659643840
17,Atuona,-9.8,-139.0333,77.65,23,68,17.09,PF,1659643840
18,Guozhen,34.3659,107.359,78.66,3,78,2.42,CN,1659643841
19,Codrington,-38.2667,141.9667,48.06,94,90,11.81,AU,1659643841
20,Rapid Valley,44.0625,-103.1463,100.76,0,23,11.5,US,1659643842
21,Busselton,-33.65,115.3333,51.64,100,75,5.61,AU,1659643842
22,Diamantino,-14.4086,-56.4461,96.33,6,16,2.55,BR,1659643843
23,Vaini,-21.2,-175.2,77.16,75,83,6.91,TO,1659643843
24,Iqaluit,63.7506,-68.5145,43.7,100,87,4.0,CA,1659643844
25,Indramayu,-6.3264,108.32,75.76,87,74,9.71,ID,1659643844
26,Hithadhoo,-0.6,73.0833,81.5,100,68,11.21,MV,1659643845
27,Cidreira,-30.1811,-50.2056,66.76,24,82,6.76,BR,1659643845
28,Northam,51.0333,-4.2167,61.39,2,63,11.92,GB,1659643846
29,Opuwo,-18.0607,13.84,64.08,3,23,3.11,NA,1659643846
30,Rikitea,-23.1203,-134.9692,71.06,97,71,19.28,PF,1659643846
31,Adrar,20.5022,-10.0711,99.05,1,25,18.59,MR,1659643847
32,George Town,5.4112,100.3354,80.89,20,84,0.0,MY,1659643683
33,New Norfolk,-42.7826,147.0587,43.92,43,67,2.73,AU,1659643848
34,Jamestown,42.097,-79.2353,84.02,0,63,5.75,US,1659643646
35,Eureka,40.8021,-124.1637,94.68,7,76,4.0,US,1659643848
36,Kapaa,22.0752,-159.319,82.72,20,70,9.22,US,1659643772
37,Saquarema,-22.92,-42.5103,75.24,100,74,10.83,BR,1659643849
38,Cururupu,-1.8283,-44.8683,80.8,29,77,4.65,BR,1659643850
39,Saint-Augustin,51.226,-58.6502,68.43,89,71,18.86,CA,1659643851
40,Grand Gaube,-20.0064,57.6608,70.38,26,69,4.0,MU,1659643851
41,Kenai,60.5544,-151.2583,65.03,75,78,6.91,US,1659643851
42,Kidal,18.4411,1.4078,99.99,23,11,9.17,ML,1659643852
43,Port Lincoln,-34.7333,135.8667,53.2,71,80,17.54,AU,1659643661
44,Barrow,71.2906,-156.7887,56.25,88,61,17.16,US,1659643853
45,Kyzyl-Suu,42.3414,78.0056,58.87,50,67,2.21,KG,1659643853
46,Basco,20.4487,121.9702,84.79,84,76,14.47,PH,1659643854
47,Aracataca,10.5918,-74.1898,85.44,89,67,9.8,CO,1659643854
48,Arraial do Cabo,-22.9661,-42.0278,75.06,0,78,8.05,BR,1659643855
49,Provideniya,64.3833,-173.3,53.02,100,82,6.55,RU,1659643855
50,Padang,-0.9492,100.3543,77.05,100,81,3.24,ID,1659643856
51,Nome,64.5011,-165.4064,52.16,100,82,0.0,US,1659643823
52,Bredasdorp,-34.5322,20.0403,49.82,96,92,5.68,ZA,1659643856
53,Leningradskiy,69.3833,178.4167,36.28,100,98,8.66,RU,1659643857
54,Vestmannaeyjar,63.4427,-20.2734,54.12,4,69,18.25,IS,1659643858
55,Zhigansk,66.7697,123.3711,47.46,100,61,21.05,RU,1659643858
56,Port Alfred,-33.5906,26.891,60.66,48,79,5.12,ZA,1659643859
57,Verāval,20.9,70.3667,82.11,100,84,8.41,IN,1659643859
58,Karratha,-20.7377,116.8463,62.42,2,44,9.93,AU,1659643860
59,Scarborough,54.2797,-0.4044,63.97,89,68,1.01,GB,1659643767
60,Santa Maria,-29.6842,-53.8069,57.02,83,93,12.73,BR,1659643860
61,Tautira,-17.7333,-149.15,76.19,95,79,27.58,PF,1659643861
62,Hobart,-42.8794,147.3294,44.28,40,87,0.0,AU,1659643861
63,Hasaki,35.7333,140.8333,72.28,100,91,16.6,JP,1659643862
64,Yellowknife,62.456,-114.3525,62.56,41,45,10.0,CA,1659643863
65,Hilo,19.7297,-155.09,87.28,0,68,5.75,US,1659643863
66,Lüderitz,-26.6481,15.1594,56.26,0,79,11.5,NA,1659643864
67,Deshnok,27.7986,73.3447,84.42,99,68,3.83,IN,1659643865
68,Correntina,-13.3433,-44.6367,88.47,6,25,5.88,BR,1659643866
69,Fortuna,40.5982,-124.1573,75.92,20,71,12.66,US,1659643866
70,Hopkinsville,36.8656,-87.4886,90.63,88,58,9.33,US,1659643867
71,Cabo San Lucas,22.8909,-109.9124,94.6,0,60,11.5,MX,1659643756
72,Carnarvon,-24.8667,113.6333,60.69,58,57,15.17,AU,1659643867
73,Te Anau,-45.4167,167.7167,48.96,100,82,10.94,NZ,1659643868
74,Melbu,68.5044,14.8297,55.22,100,71,0.0,NO,1659643868
75,Dingle,10.9995,122.6711,75.49,100,93,2.46,PH,1659643869
76,Chokurdakh,70.6333,147.9167,44.35,100,73,13.53,RU,1659643870
77,São Filipe,14.8961,-24.4956,77.25,84,83,8.57,CV,1659643870
78,Pingliang,35.5392,106.6861,73.99,78,72,2.95,CN,1659643871
79,Ilulissat,69.2167,-51.1,44.62,100,100,10.36,GL,1659643871
80,Urdoma,61.7533,48.5442,61.2,36,71,4.32,RU,1659643872
81,Cape Town,-33.9258,18.4232,55.9,95,86,5.01,ZA,1659643854
82,Puerto Ayora,-0.7393,-90.3518,76.96,47,78,8.01,EC,1659643789
83,Naberera,-4.2,36.9333,58.21,34,84,9.57,TZ,1659643873
84,Ketchikan,55.3422,-131.6461,64.87,0,63,9.22,US,1659643873
85,Faanui,-16.4833,-151.75,77.56,33,77,25.19,PF,1659643655
86,Upernavik,72.7868,-56.1549,44.17,100,71,7.94,GL,1659643741
87,Wanning,18.8003,110.3967,80.17,100,89,9.01,CN,1659643874
88,Leshukonskoye,64.8989,45.7622,60.75,86,76,6.71,RU,1659643875
89,Puerto Carreño,6.189,-67.4859,85.3,85,63,3.06,CO,1659643875
90,Severo-Kuril'sk,50.6789,156.125,53.83,75,85,11.43,RU,1659643876
91,Waycross,31.2136,-82.354,95.23,100,64,6.91,US,1659643876
92,Esna,25.2934,32.554,94.06,24,18,12.35,EG,1659643877
93,Tasiilaq,65.6145,-37.6368,41.16,100,85,2.1,GL,1659643877
94,Saint-Philippe,-21.3585,55.7679,66.22,31,80,11.12,RE,1659643878
95,Muros,42.7762,-9.0603,71.69,99,74,20.11,ES,1659643878
96,East London,-33.0153,27.9116,64.67,100,71,4.29,ZA,1659643879
97,Hamilton,39.1834,-84.5333,83.52,75,80,5.75,US,1659643757
98,Samarai,-10.6167,150.6667,79.02,44,86,11.61,PG,1659643880
99,Niquero,20.0431,-77.5828,86.11,100,58,2.84,CU,1659643881
100,Rock Sound,24.9,-76.2,83.48,10,68,14.79,BS,1659643736
101,Henties Bay,-22.116,14.2845,54.18,9,94,6.31,NA,1659643881
102,Mount Gambier,-37.8333,140.7667,46.04,90,94,7.4,AU,1659643882
103,Praia,14.9215,-23.5087,79.34,75,73,12.66,CV,1659643883
104,Cayenne,4.9333,-52.3333,87.84,0,33,12.66,GF,1659643883
105,Shitanjing,39.2342,106.3439,76.28,0,67,3.8,CN,1659643884
106,Salalah,17.0151,54.0924,78.89,100,94,2.3,OM,1659643885
107,Bulgan,48.8125,103.5347,58.59,100,90,1.52,MN,1659643885
108,Sitka,57.0531,-135.33,60.69,100,77,5.75,US,1659643886
109,Kailua,21.4022,-157.7394,83.64,100,71,5.01,US,1659643887
110,Yeppoon,-23.1333,150.7333,60.58,2,94,4.18,AU,1659643887
111,Bubaque,11.2833,-15.8333,79.43,100,82,13.09,GW,1659643888
112,Lucena City,13.9314,121.6172,75.52,100,98,3.6,PH,1659643888
113,Kiryat Gat,31.61,34.7642,82.4,0,100,5.95,IL,1659643889
114,La Romana,18.4273,-68.9728,84.56,75,74,13.8,DO,1659643889
115,Narsaq,60.9167,-46.05,52.02,99,87,2.64,GL,1659643890
116,Vila,42.0304,-8.1588,71.71,26,61,6.6,PT,1659643890
117,Behshahr,36.6923,53.5526,79.41,0,66,5.91,IR,1659643891
118,Kloulklubed,7.0419,134.2556,83.25,100,73,9.04,PW,1659643814
119,Butaritari,3.0707,172.7902,81.39,100,76,10.56,KI,1659643892
120,Zabaykal'sk,49.6333,117.3167,59.31,0,83,13.6,RU,1659643892
121,Tuktoyaktuk,69.4541,-133.0374,58.64,78,62,6.08,CA,1659643893
122,Ostrovnoy,68.0531,39.5131,63.34,89,80,17.38,RU,1659643893
123,Omsukchan,62.5333,155.8,58.8,79,87,0.98,RU,1659643894
124,Agadez,19.75,10.25,96.93,2,21,3.74,NE,1659643895
125,Mahébourg,-20.4081,57.7,70.25,20,73,12.66,MU,1659643895
126,Tiksi,71.6872,128.8694,45.88,92,69,1.25,RU,1659643896
127,Chapais,49.7834,-74.8492,60.58,8,34,7.31,CA,1659643896
128,Manicoré,-5.8092,-61.3003,86.95,99,56,2.57,BR,1659643897
129,Bethel,41.3712,-73.414,97.65,0,53,9.22,US,1659643897
130,Tigbinan,14.1865,122.4692,74.48,98,93,1.1,PH,1659643898
131,Lebu,-37.6167,-73.65,51.62,99,60,5.01,CL,1659643898
132,Airai,-8.9266,125.4092,55.15,10,80,1.83,TL,1659643898
133,Shingū,33.7333,135.9833,76.15,3,90,3.91,JP,1659643899
134,Pandan,14.0453,124.1694,76.55,100,91,3.27,PH,1659643899
135,Sinnamary,5.3833,-52.95,83.21,13,73,10.65,GF,1659643900
136,Thompson,55.7435,-97.8558,70.3,100,26,3.8,CA,1659643804
137,Prieska,-29.6641,22.7474,59.29,1,50,4.25,ZA,1659643901
138,High Rock,26.6208,-78.2833,84.99,3,68,14.83,BS,1659643901
139,Mehamn,71.0357,27.8492,62.55,0,72,9.22,NO,1659643732
140,Kousséri,12.0769,15.0306,84.7,98,57,2.84,CM,1659643902
141,Avarua,-21.2078,-159.775,75.25,40,78,19.57,CK,1659643902
142,Kahului,20.8947,-156.47,84.22,40,67,11.5,US,1659643903
143,Esperance,-33.8667,121.9,48.04,88,76,19.75,AU,1659643903
144,Punta Arenas,-53.15,-70.9167,42.82,75,87,4.61,CL,1659643904
145,Dzhebariki-Khaya,62.2167,135.8,64.47,99,74,1.34,RU,1659643904
146,Baykit,61.67,96.37,43.52,100,95,4.03,RU,1659643905
147,Takoradze,4.8845,-1.7554,74.35,100,75,7.02,GH,1659643906
148,Poum,-20.2333,164.0167,74.17,2,84,8.39,NC,1659643906
149,Lumphat,13.4878,106.9816,72.46,100,99,2.55,KH,1659643907
150,Port Macquarie,-31.4333,152.9167,58.89,100,92,9.73,AU,1659643907
151,Tuatapere,-46.1333,167.6833,54.19,100,68,9.89,NZ,1659643908
152,Kavieng,-2.5744,150.7967,81.91,100,77,13.02,PG,1659643908
153,Longyearbyen,78.2186,15.6401,46.65,100,94,0.96,SJ,1659643909
154,Kaitangata,-46.2817,169.8464,50.47,100,74,8.7,NZ,1659643909
155,Healesville,-37.65,145.5167,55.22,98,73,1.01,AU,1659643910
156,San Fernando del Valle de Catamarca,-28.4696,-65.7852,70.77,0,35,1.01,AR,1659643910
157,Anshun,26.25,105.9333,66.81,98,89,4.88,CN,1659643911
158,Dikson,73.5069,80.5464,44.58,100,100,14.94,RU,1659643911
159,Qaanaaq,77.484,-69.3632,45.45,5,57,3.83,GL,1659643912
160,Souillac,-20.5167,57.5167,70.18,20,73,12.66,MU,1659643912
161,Inverness,57.4791,-4.224,55.31,75,75,13.8,GB,1659643913
162,Belen,36.4891,36.2233,73.54,0,89,11.5,TR,1659643913
163,Rach Gia,10.0167,105.0833,80.06,100,79,20.27,VN,1659643914
164,Husavik,66.0449,-17.3389,46.54,90,83,9.4,IS,1659643914
165,Hong Kong,22.2855,114.1577,81.25,100,93,7.0,HK,1659643665
166,Szczecinek,53.7079,16.6994,78.66,48,42,11.81,PL,1659643915
167,Ust-Kuyga,70.0167,135.6,48.11,7,63,3.6,RU,1659643916
168,Mafinga,-7.25,35.0667,67.06,3,51,6.55,TZ,1659643916
169,Provincia di Novara,45.5853,8.5778,87.96,0,55,1.14,IT,1659643917
170,Lata,40.1629,-8.3327,66.81,79,87,3.67,PT,1659643917
171,Luau,-10.7073,22.2247,69.06,0,24,5.53,AO,1659643918
172,Camopi,3.1655,-52.3158,80.37,98,74,2.73,GF,1659643918
173,Pingdingshan,33.7385,113.3012,83.48,0,75,6.69,CN,1659643919
174,Akdepe,42.0551,59.3788,80.91,0,32,8.05,TM,1659643920
175,Norman Wells,65.282,-126.8329,74.57,52,37,2.26,CA,1659643670
176,Teya,60.3778,92.6267,43.59,100,98,5.53,RU,1659643920
177,Kruisfontein,-34.0033,24.7314,52.36,57,91,4.0,ZA,1659643921
178,Kissidougou,9.1848,-10.0999,69.69,94,98,4.76,GN,1659643921
179,Saskylakh,71.9167,114.0833,53.33,100,71,4.92,RU,1659643922
180,Batemans Bay,-35.7167,150.1833,55.09,0,49,8.52,AU,1659643894
181,Bilibino,68.0546,166.4372,47.19,100,86,4.79,RU,1659643923
182,Tura,25.5198,90.2201,74.32,92,95,2.89,IN,1659643924
183,Bull Savanna,17.8868,-77.5902,84.67,96,61,18.9,JM,1659643924
184,Saint Paul Harbor,57.79,-152.4072,60.31,20,72,5.75,US,1659643896
185,Zachepylivka,49.1939,35.2394,66.58,44,84,4.92,UA,1659643925
186,Ganzhou,28.8184,115.4327,81.81,3,74,4.45,CN,1659643926
187,Fare,-16.7,-151.0167,77.31,39,77,25.32,PF,1659643926
188,Pevek,69.7008,170.3133,36.34,100,96,5.08,RU,1659643927
189,Namatanai,-3.6667,152.4333,77.94,87,81,7.74,PG,1659643927
190,Atherton,53.5237,-2.4935,60.35,12,73,1.01,GB,1659643928
191,St. Pete Beach,27.7253,-82.7412,96.12,40,55,3.0,US,1659643928
192,Ribeira Grande,38.5167,-28.7,75.6,75,94,2.3,PT,1659643929
193,Shido,34.3233,134.1733,81.57,2,79,7.54,JP,1659643929
194,Lages,-27.8161,-50.3261,59.58,91,88,4.43,BR,1659643930
195,Mórrope,-6.5417,-80.0111,66.31,14,59,15.5,PE,1659643930
196,Tucuruí,-3.7661,-49.6725,88.34,52,52,1.03,BR,1659643931
197,Morro Bay,35.3658,-120.8499,96.93,92,50,5.99,US,1659643795
198,Coos Bay,43.3665,-124.2179,79.32,0,86,23.02,US,1659643931
199,Itarema,-2.9248,-39.9167,79.97,15,70,15.03,BR,1659643932
200,Fairbanks,64.8378,-147.7164,73.49,20,52,5.75,US,1659643932
201,Kondinskoye,59.6481,67.41,61.07,20,71,6.71,RU,1659643933
202,Westport,41.1415,-73.3579,97.63,0,56,13.8,US,1659643683
203,Monte Gordo,37.1819,-7.4523,80.35,0,68,7.0,PT,1659643934
204,Creston,41.0586,-94.3614,90.72,0,37,6.91,US,1659643934
205,Port Blair,11.6667,92.75,81.14,100,81,21.92,IN,1659643935
206,Arroyo de la Encomienda,41.6096,-4.7969,86.04,0,20,5.75,ES,1659643935
207,Vila Franca do Campo,37.7167,-25.4333,77.41,93,85,7.14,PT,1659643659
208,Ribeira Brava,32.65,-17.0667,74.71,3,78,8.37,PT,1659643936
209,Melfi,40.9965,15.6514,74.53,10,42,2.42,IT,1659643937
210,Alofi,-19.0595,-169.9187,78.69,40,69,11.5,NU,1659643937
211,Quelimane,-17.8786,36.8883,66.51,0,83,4.94,MZ,1659643938
212,Três Passos,-27.4556,-53.9319,67.21,20,76,13.31,BR,1659643939
213,San Quintín,30.4833,-115.95,76.28,37,72,16.42,MX,1659643939
214,Anloga,5.7947,0.8973,74.14,95,81,11.23,GH,1659643940
215,Jieshi,22.8134,115.8257,81.27,100,83,12.21,CN,1659643940
216,Isangel,-19.55,169.2667,75.16,1,86,4.7,VU,1659643941
217,Ponta Porã,-22.5361,-55.7256,73.31,100,83,12.66,BR,1659643941
218,Port Elizabeth,-33.918,25.5701,57.61,12,83,4.23,ZA,1659643847
219,Havre-St-Pierre,50.2334,-63.5986,66.56,75,77,3.44,CA,1659643942
220,Ferme-Neuve,46.7001,-75.4493,80.04,83,60,8.79,CA,1659643943
221,Kumul,42.8,93.45,88.39,86,18,12.28,CN,1659643943
222,Roebourne,-20.7833,117.1333,62.49,0,44,9.86,AU,1659643943
223,Lompoc,34.6391,-120.4579,93.78,0,45,11.5,US,1659643944
224,Ayagoz,47.9714,80.4392,60.85,4,44,9.35,KZ,1659643944
225,Praia da Vitória,38.7333,-27.0667,77.76,75,88,3.53,PT,1659643945
226,Sechura,-5.5569,-80.8222,74.39,69,60,11.59,PE,1659643946
227,Kushima,31.4583,131.2333,77.72,54,94,6.31,JP,1659643946
228,Gorontalo,0.5412,123.0595,74.1,70,94,3.94,ID,1659643947
229,Ust'-Kalmanka,52.1207,83.305,52.63,9,75,7.36,RU,1659643947
230,Newala,-10.9431,39.2787,60.44,0,84,7.56,TZ,1659643948
231,Vila Velha,-20.3297,-40.2925,78.75,0,74,14.97,BR,1659643948
232,Guerrero Negro,27.9769,-114.0611,80.02,2,55,15.05,MX,1659643949
233,Bud,39.447,-86.1758,81.19,100,87,6.85,US,1659643949
234,Gemeente Hoorn,52.6431,5.0578,69.96,62,78,10.58,NL,1659643737
235,Touros,-5.1989,-35.4608,78.17,22,78,13.42,BR,1659643950
236,Matamoros,25.5333,-103.25,93.31,75,27,5.75,MX,1659643950
237,Sørland,67.667,12.6934,53.46,61,78,14.18,NO,1659643951
238,Jashpurnagar,22.9,84.15,73.87,97,89,1.25,IN,1659643951
239,Saint George,37.1041,-113.5841,101.79,0,27,18.41,US,1659643924
240,La Ronge,55.1001,-105.2842,59.77,100,66,11.25,CA,1659643952
241,Yar-Sale,66.8333,70.8333,57.34,10,89,7.7,RU,1659643952
242,Floresta,-8.6011,-38.5686,79.54,100,58,17.58,BR,1659643953
243,Gravdal,68.1214,13.5031,55.29,75,82,13.8,NO,1659643953
244,Banda Aceh,5.5577,95.3222,79.77,100,72,9.8,ID,1659643954
245,Plácido de Castro,-10.3353,-67.1856,82.18,100,66,1.41,BR,1659643956
246,Norden,53.6,7.2,65.95,43,78,11.68,DE,1659643956
247,Itaituba,-4.2761,-55.9836,95.74,77,29,4.45,BR,1659643957
248,Bara,10.3744,10.7288,77.36,100,66,5.44,NG,1659643957
249,Abu Dhabi,24.4667,54.3667,95.11,0,60,4.61,AE,1659643748
250,Kumla,59.1277,15.1434,64.35,75,100,3.44,SE,1659643958
251,Inuvik,68.3499,-133.7218,73.85,35,41,11.54,CA,1659643958
252,Bekhteyevka,50.8072,37.2085,65.3,100,86,7.56,RU,1659643959
253,Iwanai,42.9744,140.5089,60.39,65,94,6.76,JP,1659643959
254,Yinchuan,38.4681,106.2731,78.58,6,65,3.98,CN,1659643960
255,Waddān,29.1614,16.139,90.3,0,21,14.27,LY,1659643961
256,Manzanillo,20.3433,-77.1167,90.81,100,47,1.45,CU,1659643808
257,Mutare,-18.9707,32.6709,57.29,0,69,3.6,ZW,1659643961
258,Kirksville,40.1948,-92.5833,92.82,0,51,0.0,US,1659643962
259,Acapulco de Juárez,16.8634,-99.8901,87.62,20,70,12.66,MX,1659643701
260,Necochea,-38.5473,-58.7368,53.19,0,58,3.87,AR,1659643663
261,Aklavik,68.2191,-135.0107,75.25,13,38,9.04,CA,1659643963
262,Salina,38.8403,-97.6114,99.01,0,49,10.36,US,1659643964
263,Marsh Harbour,26.5412,-77.0636,84.51,1,69,15.19,BS,1659643964
264,Hambantota,6.1241,81.1185,78.93,100,77,21.09,LK,1659643965
265,Marand,38.4329,45.7749,75.2,0,47,6.8,IR,1659643965
266,Castro,-24.7911,-50.0119,73.38,72,46,8.32,BR,1659643690
267,Nerchinskiy Zavod,51.3088,119.61,57.85,100,94,12.08,RU,1659643966
268,Shetpe,44.1667,52.1167,80.91,0,33,6.78,KZ,1659643967
269,Hofn,64.2539,-15.2082,51.53,62,67,12.06,IS,1659643967
270,Ust-Tsilma,65.441,52.1498,60.28,100,68,4.74,RU,1659643968
271,Geraldton,-28.7667,114.6,48.61,75,93,6.91,AU,1659643968
272,Lodja,-3.4833,23.4333,77.47,5,36,1.79,CD,1659643969
273,Soyo,-6.1349,12.3689,67.96,10,91,9.98,AO,1659643969
274,Riverton,40.5219,-111.9391,97.18,0,27,8.01,US,1659643916
275,Trairi,-3.2778,-39.2689,79.95,29,72,10.94,BR,1659643775
276,Yantal',56.8471,105.2542,51.4,99,96,3.83,RU,1659643940
277,Zabid,14.1951,43.3152,89.74,75,59,9.55,YE,1659643971
278,Tochio-honchō,37.4667,139.0,70.56,100,96,3.76,JP,1659643971
279,Lasem,-6.6922,111.4527,72.63,0,78,8.23,ID,1659643972
280,Kiruna,67.8557,20.2251,59.92,60,72,0.0,SE,1659643972
